date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-02-04,MOMENTUM_BURST,CE,TRENDING_BULL,0.821,16,2025-02-04 12:46:00,360.0,395.62559999999996,2025-02-04 13:34:00,TSL,35.13,42110.72,True,ARMED(conf=0.82),NIFTY
2025-02-04,ATR_BREAK,CE,TRENDING_BULL,0.821,2,2025-02-04 12:46:00,360.0,388.23839999999996,2025-02-04 13:34:00,TSL,27.74,4120.76,True,ARMED(conf=0.82),NIFTY
2025-02-04,OPTIONS_GREEKS,PE,TRENDING_BULL,0.829,19,2025-02-04 14:01:00,303.55,311.55,2025-02-04 14:30:00,TIME,7.5,10647.5,True,ARMED(conf=0.83),NIFTY
2025-02-04,MACD_DIVERGENCE,PE,TRENDING_BULL,0.829,2,2025-02-04 14:01:00,303.55,311.55,2025-02-04 14:30:00,TIME,7.5,1085.0,True,ARMED(conf=0.83),NIFTY
2025-02-05,MOMENTUM_BURST,PE,NORMAL,0.829,21,2025-02-05 12:46:00,275.55,206.66250000000002,2025-02-05 12:56:00,SL,-69.39,-109325.31,False,ARMED(conf=0.83),NIFTY
2025-02-05,VWAP_BOUNCE,PE,NORMAL,0.829,3,2025-02-05 12:46:00,275.55,220.44000000000003,2025-02-05 12:56:00,SL,-55.61,-12552.25,False,ARMED(conf=0.83),NIFTY
2025-02-07,MACD_DIVERGENCE,CE,TRENDING_BEAR,0.835,2,2025-02-07 13:16:00,325.4,279.75,2025-02-07 14:11:00,SPOT_SL,-46.15,-6962.5,False,ARMED(conf=0.84),NIFTY
2025-02-07,BREAKOUT,PE,TRENDING_BEAR,0.823,21,2025-02-07 14:01:00,217.65,234.55,2025-02-07 14:30:00,TIME,16.4,25790.0,True,ARMED(conf=0.82),NIFTY
2025-02-07,MOMENTUM_BURST,PE,TRENDING_BEAR,0.823,3,2025-02-07 14:01:00,233.8,260.8584,2025-02-07 14:22:00,TSL,26.56,5935.64,True,ARMED(conf=0.82),NIFTY
2025-02-10,OPTIONS_GREEKS,CE,TRENDING_BEAR,0.827,18,2025-02-10 13:16:00,318.75,322.0,2025-02-10 14:30:00,TIME,2.75,3672.5,True,ARMED(conf=0.83),NIFTY
2025-02-10,MACD_DIVERGENCE,CE,TRENDING_BEAR,0.827,2,2025-02-10 13:16:00,318.75,322.0,2025-02-10 14:30:00,TIME,2.75,372.5,True,ARMED(conf=0.83),NIFTY
2025-02-11,MOMENTUM_BURST,PE,TRENDING_BEAR,0.819,25,2025-02-11 12:46:00,233.5,255.84559999999996,2025-02-11 12:56:00,TSL,21.85,40920.5,True,ARMED(conf=0.82),NIFTY
2025-02-11,BOLLINGER_SQUEEZE,PE,TRENDING_BEAR,0.819,3,2025-02-11 12:46:00,233.5,255.84559999999996,2025-02-11 12:56:00,TSL,21.85,4875.26,True,ARMED(conf=0.82),NIFTY
2025-02-11,MOMENTUM_BURST,PE,TRENDING_BEAR,0.813,25,2025-02-11 13:01:00,235.65,259.0268,2025-02-11 13:10:00,TSL,22.88,42854.0,True,ARMED(conf=0.81),NIFTY
2025-02-11,ATR_BREAK,PE,TRENDING_BEAR,0.813,3,2025-02-11 13:01:00,235.65,289.5706,2025-02-11 13:13:00,TSL,53.42,11979.64,True,ARMED(conf=0.81),NIFTY
2025-02-11,MACD_DIVERGENCE,CE,TRENDING_BEAR,0.824,6,2025-02-11 13:31:00,313.85,304.2,2025-02-11 14:30:00,TIME,-10.15,-4607.5,False,ARMED(conf=0.82),NIFTY
2025-02-12,MOMENTUM_BURST,CE,TRENDING_BEAR,0.821,19,2025-02-12 13:16:00,308.45,267.25,2025-02-12 13:55:00,SPOT_SL,-41.7,-59462.5,False,ARMED(conf=0.82),NIFTY
2025-02-14,VOLUME_CLIMAX,CE,TRENDING_BEAR,0.823,15,2025-02-14 13:01:00,295.45,311.05,2025-02-14 13:30:00,TIME,15.1,16947.5,True,ARMED(conf=0.82),NIFTY
2025-02-14,OPTIONS_GREEKS,CE,TRENDING_BEAR,0.832,7,2025-02-14 13:16:00,297.45,328.05,2025-02-14 14:30:00,TIME,30.1,15762.5,True,ARMED(conf=0.83),NIFTY
2025-02-14,TREND_FOLLOWING,PE,TRENDING_BEAR,0.824,18,2025-02-14 13:31:00,215.35,229.7445,2025-02-14 13:40:00,TSL,13.89,18717.57,True,ARMED(conf=0.82),NIFTY
2025-02-14,MOMENTUM_BURST,PE,TRENDING_BEAR,0.829,3,2025-02-14 13:31:00,215.35,232.565,2025-02-14 13:52:00,TSL,16.72,3720.88,True,ARMED(conf=0.83),NIFTY
2025-02-14,MOMENTUM_BURST,PE,TRENDING_BEAR,0.827,19,2025-02-14 13:46:00,207.2,177.9,2025-02-14 14:30:00,TIME,-29.8,-42505.0,False,ARMED(conf=0.83),NIFTY
2025-02-17,MOMENTUM_BURST,CE,TRENDING_BULL,0.829,7,2025-02-17 13:31:00,288.25,313.8302,2025-02-17 13:36:00,TSL,25.08,13127.1,True,ARMED(conf=0.83),NIFTY
2025-02-18,MACD_DIVERGENCE,PE,TRENDING_BEAR,0.837,29,2025-02-18 12:46:00,202.35,219.02079999999998,2025-02-18 12:57:00,TSL,16.17,35131.49,True,ARMED(conf=0.84),NIFTY
2025-02-18,VWAP_BOUNCE,CE,TRENDING_BEAR,0.83,19,2025-02-18 13:31:00,243.55,255.95,2025-02-18 14:30:00,TIME,11.9,16917.5,True,ARMED(conf=0.83),NIFTY
2025-02-18,ATR_BREAK,CE,TRENDING_BEAR,0.83,8,2025-02-18 13:31:00,243.55,255.95,2025-02-18 14:30:00,TIME,11.9,7100.0,True,ARMED(conf=0.83),NIFTY
2025-02-19,MACD_DIVERGENCE,CE,TRENDING_BULL,0.838,27,2025-02-19 12:46:00,222.8,178.0,2025-02-19 14:29:00,SPOT_SL,-45.3,-91772.5,False,ARMED(conf=0.84),NIFTY
2025-02-21,MACD_DIVERGENCE,PE,TRENDING_BEAR,0.834,46,2025-02-21 12:46:00,128.05,146.528,2025-02-21 13:00:00,TSL,17.98,61984.1,True,ARMED(conf=0.83),NIFTY
2025-02-21,OPTIONS_GREEKS,CE,TRENDING_BEAR,0.832,36,2025-02-21 13:46:00,166.0,180.527,2025-02-21 14:26:00,TSL,14.03,37832.9,True,ARMED(conf=0.83),NIFTY
2025-02-21,MACD_DIVERGENCE,CE,TRENDING_BEAR,0.832,4,2025-02-21 13:46:00,166.0,185.1362,2025-02-21 14:26:00,TSL,18.64,5550.86,True,ARMED(conf=0.83),NIFTY
2025-02-24,ULTIMATE_DAY_HIGH_LOW,CE,NORMAL,0.839,32,2025-02-24 11:46:00,145.0,147.79199999999997,2025-02-24 11:47:00,TSL,2.29,5460.8,True,ARMED(conf=0.84),NIFTY
2025-02-24,PUT_WRITER_SUPPORT,CE,NORMAL,0.84,37,2025-02-24 12:46:00,155.6,159.73479999999998,2025-02-24 13:10:00,TSL,3.63,10046.57,True,ARMED(conf=0.84),NIFTY
