date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-03-17,MOMENTUM_BURST,PE,TRENDING_BULL,0.826,5,2025-03-17 12:46:00,477.5,500.0,2025-03-17 14:30:00,TIME,22.5,925.0,True,ARMED(conf=0.83),SENSEX
2025-03-17,VWAP_BOUNCE,PE,TRENDING_BULL,0.826,5,2025-03-17 12:46:00,477.5,500.0,2025-03-17 14:30:00,TIME,22.5,925.0,True,ARMED(conf=0.83),SENSEX
2025-03-19,MOMENTUM_BURST,CE,TRENDING_BULL,0.824,5,2025-03-19 12:46:00,496.55,533.757,2025-03-19 12:49:00,TSL,37.21,1660.35,True,ARMED(conf=0.82),SENSEX
2025-03-19,VWAP_BOUNCE,CE,TRENDING_BULL,0.824,5,2025-03-19 12:46:00,496.55,533.757,2025-03-19 12:49:00,TSL,37.21,1660.35,True,ARMED(conf=0.82),SENSEX
2026-02-09,EMA_CROSSOVER,PE,TRENDING_BEAR,0.816,5,2026-02-09 12:46:00,657.55,632.45,2026-02-09 14:30:00,TIME,-25.1,-1455.0,False,ARMED(conf=0.82),SENSEX
2026-02-10,MOMENTUM_BURST,CE,TRENDING_BULL,0.828,5,2026-02-10 12:46:00,828.15,881.804,2026-02-10 13:22:00,TSL,53.65,2482.7,True,ARMED(conf=0.83),SENSEX
2026-02-10,VWAP_BOUNCE,CE,TRENDING_BULL,0.828,5,2026-02-10 12:46:00,828.15,881.804,2026-02-10 13:22:00,TSL,53.65,2482.7,True,ARMED(conf=0.83),SENSEX
2026-02-10,VOLUME_CLIMAX,PE,TRENDING_BULL,0.828,5,2026-02-10 12:46:00,661.45,650.0,2026-02-10 13:30:00,TIME,-11.45,-772.5,False,ARMED(conf=0.83),SENSEX
2025-03-04,AI_ENHANCED,CE,TRENDING_BULL,0.836,10,2025-03-04 12:16:00,842.0,887.88,2025-03-04 14:13:00,TSL,45.88,6482.0,True,ARMED(conf=0.84),BANKNIFTY
2025-03-04,AI_ENHANCED,CE,TRENDING_BULL,0.835,10,2025-03-04 12:31:00,887.0,849.2,2025-03-04 14:30:00,TIME,-37.8,-6070.0,False,ARMED(conf=0.84),BANKNIFTY
2025-03-05,ZERO_HERO,CE,TRENDING_BULL,0.82,10,2025-03-05 10:31:00,719.9,698.55,2025-03-05 13:30:00,TIME,-21.35,-3602.5,False,ARMED(conf=0.82),BANKNIFTY
2025-03-05,ZERO_HERO,CE,TRENDING_BULL,0.838,10,2025-03-05 11:16:00,713.0,698.55,2025-03-05 13:30:00,TIME,-14.45,-2567.5,False,ARMED(conf=0.84),BANKNIFTY
2025-03-05,GAMMA_BLAST,PE,TRENDING_BULL,0.834,10,2025-03-05 13:01:00,633.35,657.25,2025-03-05 13:30:00,TIME,23.9,3185.0,True,ARMED(conf=0.83),BANKNIFTY
2025-03-05,ZERO_HERO,PE,TRENDING_BULL,0.831,10,2025-03-05 13:16:00,722.85,748.9,2025-03-05 13:30:00,TIME,26.05,3507.5,True,ARMED(conf=0.83),BANKNIFTY
2025-03-05,ZERO_HERO,PE,TRENDING_BULL,0.825,10,2025-03-05 13:31:00,748.9,753.0,2025-03-05 13:31:00,TIME,4.1,215.0,True,ARMED(conf=0.82),BANKNIFTY
2025-03-05,ZERO_HERO,PE,TRENDING_BULL,0.815,10,2025-03-05 14:01:00,746.2,741.2,2025-03-05 14:01:00,TIME,-5.0,-1150.0,False,ARMED(conf=0.81),BANKNIFTY
2025-03-11,AI_ENHANCED,CE,TRENDING_BEAR,0.837,10,2025-03-11 12:31:00,719.55,724.6,2025-03-11 14:30:00,TIME,5.05,357.5,True,ARMED(conf=0.84),BANKNIFTY
2025-03-12,ZERO_HERO,CE,TRENDING_BULL,0.84,10,2025-03-12 10:16:00,527.0,568.694,2025-03-12 10:47:00,TSL,41.69,5854.1,True,ARMED(conf=0.84),BANKNIFTY
2025-03-12,ZERO_HERO,CE,TRENDING_BULL,0.84,10,2025-03-12 10:31:00,553.85,491.4,2025-03-12 13:30:00,TIME,-62.45,-9767.5,False,ARMED(conf=0.84),BANKNIFTY
2025-03-12,ZERO_HERO,PE,TRENDING_BULL,0.828,10,2025-03-12 11:31:00,632.7,663.7,2025-03-12 13:30:00,TIME,31.0,4250.0,True,ARMED(conf=0.83),BANKNIFTY
2025-03-12,ZERO_HERO,PE,TRENDING_BULL,0.824,10,2025-03-12 11:46:00,663.75,663.7,2025-03-12 13:30:00,TIME,-0.05,-407.5,False,ARMED(conf=0.82),BANKNIFTY
2025-03-12,ZERO_HERO,PE,TRENDING_BULL,0.833,10,2025-03-12 12:16:00,610.9,655.375,2025-03-12 12:34:00,TSL,44.48,6271.25,True,ARMED(conf=0.83),BANKNIFTY
