date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-02-04,ZERO_HERO,CE,TRENDING_BEAR,0.835,3,2025-02-04 11:01:00,398.0,396.45,2025-02-04 13:30:00,TIME,-1.55,-306.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-04,ZERO_HERO,CE,TRENDING_BEAR,0.834,3,2025-02-04 11:16:00,390.9,396.45,2025-02-04 13:30:00,TIME,5.55,546.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.84,3,2025-02-11 10:01:00,347.55,338.55,2025-02-11 13:30:00,TIME,-9.0,-1200.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.84,3,2025-02-11 10:31:00,322.0,335.256,2025-02-11 11:00:00,TSL,13.26,1470.72,True,ARMED(conf=0.84),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.831,3,2025-02-11 11:16:00,337.6,338.55,2025-02-11 13:30:00,TIME,0.95,-6.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.831,3,2025-02-11 11:46:00,338.85,338.55,2025-02-11 13:30:00,TIME,-0.3,-156.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.836,3,2025-02-11 12:31:00,330.45,346.38239999999996,2025-02-11 13:05:00,TSL,15.93,1791.89,True,ARMED(conf=0.84),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.827,3,2025-02-11 12:46:00,331.9,346.38239999999996,2025-02-11 13:05:00,TSL,14.48,1617.89,True,ARMED(conf=0.83),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.82,3,2025-02-11 13:01:00,335.3,338.55,2025-02-11 13:30:00,TIME,3.25,270.0,True,ARMED(conf=0.82),FINNIFTY
2025-02-11,GAMMA_BLAST,PE,TRENDING_BEAR,0.82,3,2025-02-11 13:01:00,287.6,299.53439999999995,2025-02-11 13:05:00,TSL,11.93,1312.13,True,ARMED(conf=0.82),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.82,3,2025-02-11 13:16:00,331.0,338.55,2025-02-11 13:30:00,TIME,7.55,786.0,True,ARMED(conf=0.82),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.824,3,2025-02-11 13:46:00,319.35,319.75,2025-02-11 13:47:00,TIME,0.4,-72.0,False,ARMED(conf=0.82),FINNIFTY
2025-02-11,ZERO_HERO,PE,TRENDING_BEAR,0.824,3,2025-02-11 14:16:00,314.0,323.15,2025-02-11 14:17:00,TIME,9.15,978.0,True,ARMED(conf=0.82),FINNIFTY
2025-02-18,ZERO_HERO,PE,TRENDING_BEAR,0.84,3,2025-02-18 10:16:00,317.8,291.4,2025-02-18 13:30:00,TIME,-26.4,-3288.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-18,ZERO_HERO,PE,TRENDING_BEAR,0.828,3,2025-02-18 11:01:00,289.25,311.832,2025-02-18 11:09:00,TSL,22.58,2589.84,True,ARMED(conf=0.83),FINNIFTY
2025-02-18,ZERO_HERO,PE,TRENDING_BEAR,0.839,3,2025-02-18 11:46:00,292.5,304.512,2025-02-18 11:50:00,TSL,12.01,1321.44,True,ARMED(conf=0.84),FINNIFTY
2025-02-18,ZERO_HERO,CE,TRENDING_BEAR,0.835,3,2025-02-18 12:01:00,243.0,261.7632,2025-02-18 12:06:00,TSL,18.76,2131.58,True,ARMED(conf=0.84),FINNIFTY
2025-02-18,ZERO_HERO,CE,TRENDING_BEAR,0.833,3,2025-02-18 12:16:00,255.05,249.9,2025-02-18 13:30:00,TIME,-5.15,-738.0,False,ARMED(conf=0.83),FINNIFTY
