date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-03-21,MOMENTUM_BURST,CE,TRENDING_BULL,0.829,6,2025-03-21 12:46:00,125.0,140.05599999999998,2025-03-21 12:59:00,TSL,14.46,6465.2,True,ARMED(conf=0.83),MIDCPNIFTY
2025-03-21,OPTIONS_GREEKS,PE,TRENDING_BULL,0.836,8,2025-03-21 13:01:00,109.0,113.904,2025-03-21 13:14:00,TSL,4.3,2542.4,True,ARMED(conf=0.84),MIDCPNIFTY
2025-03-21,MACD_DIVERGENCE,CE,TRENDING_BULL,0.839,6,2025-03-21 14:01:00,122.75,128.832,2025-03-21 14:07:00,TSL,5.48,2426.9,True,ARMED(conf=0.84),MIDCPNIFTY
2026-01-02,OPTIONS_GREEKS,PE,TRENDING_BULL,0.817,5,2026-01-02 13:16:00,166.25,171.456,2026-01-02 13:35:00,TSL,4.61,1687.25,True,ARMED(conf=0.82),MIDCPNIFTY
2026-01-02,OPTIONS_GREEKS,PE,TRENDING_BULL,0.819,5,2026-01-02 13:46:00,165.75,163.9,2026-01-02 14:30:00,TIME,-2.45,-958.75,False,ARMED(conf=0.82),MIDCPNIFTY
2026-01-06,TREND_FOLLOWING,PE,NORMAL,0.846,4,2026-01-06 13:01:00,169.4,174.489,2026-01-06 13:12:00,TSL,4.49,1306.7,True,ARMED(conf=0.85),MIDCPNIFTY
2026-01-06,BREAKOUT,PE,NORMAL,0.826,5,2026-01-06 14:01:00,166.7,173.47199999999998,2026-01-06 14:09:00,TSL,6.17,2274.5,True,ARMED(conf=0.83),MIDCPNIFTY
2026-01-06,MOMENTUM_BURST,PE,NORMAL,0.826,4,2026-01-06 14:16:00,169.05,168.35,2026-01-06 14:30:00,TIME,-1.3,-430.0,False,ARMED(conf=0.83),MIDCPNIFTY
2026-01-07,MACD_DIVERGENCE,CE,TRENDING_BULL,0.839,3,2026-01-07 12:46:00,210.15,221.552,2026-01-07 13:00:00,TSL,10.8,2390.45,True,ARMED(conf=0.84),MIDCPNIFTY
2026-01-07,MACD_DIVERGENCE,PE,TRENDING_BULL,0.835,4,2026-01-07 13:16:00,162.95,169.9704,2026-01-07 13:36:00,TSL,6.42,1886.12,True,ARMED(conf=0.84),MIDCPNIFTY
