date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-02-03,MOMENTUM_BURST,CE,TRENDING_BEAR,0.826,3,2025-02-03 13:01:00,474.5,485.5,2025-02-03 14:30:00,TIME,10.2,1184.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-05,MOMENTUM_BURST,CE,RANGE_BOUND,0.828,3,2025-02-05 13:01:00,421.55,430.0,2025-02-05 14:30:00,TIME,7.65,878.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-06,BEAR_TREND_FOLLOWER,PE,RANGE_BOUND,0.88,6,2025-02-06 12:46:00,333.7,336.55,2025-02-06 14:30:00,TIME,2.05,452.0,True,ARMED(conf=0.88),FINNIFTY
2025-02-07,BEAR_TREND_FOLLOWER,PE,TRENDING_BEAR,0.895,7,2025-02-07 12:46:00,304.4,317.18399999999997,2025-02-07 13:56:00,TSL,11.98,3315.52,True,ARMED(conf=0.90),FINNIFTY
2025-02-13,ATR_BREAK,PE,TRENDING_BEAR,0.827,5,2025-02-13 13:01:00,257.7,268.1848,2025-02-13 13:12:00,TSL,9.68,1896.96,True,ARMED(conf=0.83),FINNIFTY
2025-02-13,EMA_CROSSOVER,PE,TRENDING_BEAR,0.824,5,2025-02-13 13:31:00,284.0,276.15,2025-02-13 14:30:00,TIME,-8.65,-1770.0,False,ARMED(conf=0.82),FINNIFTY
2025-02-14,TREND_FOLLOWING,PE,TRENDING_BULL,0.829,5,2025-02-14 13:31:00,258.15,264.551,2025-02-14 13:36:00,TSL,5.6,1080.2,True,ARMED(conf=0.83),FINNIFTY
2025-02-14,MOMENTUM_BURST,PE,TRENDING_BULL,0.827,5,2025-02-14 13:46:00,272.85,253.65,2025-02-14 14:30:00,TIME,-20.0,-4040.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-17,VWAP_BOUNCE,CE,TRENDING_BULL,0.837,4,2025-02-17 13:16:00,333.85,346.577,2025-02-17 13:39:00,TSL,11.93,1868.32,True,ARMED(conf=0.84),FINNIFTY
2025-02-19,MACD_DIVERGENCE,CE,TRENDING_BULL,0.837,5,2025-02-19 12:46:00,272.45,251.6,2025-02-19 14:29:00,SPOT_SL,-21.65,-4370.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-20,TREND_FOLLOWING,PE,TRENDING_BEAR,0.842,8,2025-02-20 13:01:00,175.95,183.505,2025-02-20 13:03:00,TSL,6.76,2121.6,True,ARMED(conf=0.84),FINNIFTY
2025-02-20,ATR_BREAK,CE,TRENDING_BEAR,0.832,6,2025-02-20 13:31:00,248.1,239.6,2025-02-20 14:30:00,TIME,-9.3,-2272.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-21,MACD_DIVERGENCE,PE,TRENDING_BEAR,0.838,8,2025-02-21 12:46:00,166.5,172.84959999999998,2025-02-21 12:58:00,TSL,5.55,1735.87,True,ARMED(conf=0.84),FINNIFTY
2025-02-21,MOMENTUM_BURST,PE,TRENDING_BEAR,0.836,8,2025-02-21 13:01:00,171.75,181.536,2025-02-21 13:15:00,TSL,8.99,2835.52,True,ARMED(conf=0.84),FINNIFTY
