strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,position_size,broker_charges,status,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl
multi_signal_momentum,BUY,2026-03-27 10:08:07.140822,23635.32,23650,ce,15.08,0.5231,-0.5322,0.0099,0.2216,0.67019769103791,Positive momentum,33,40,CLOSED,2026-03-27 10:29:07.140822,23632.53,Time Exit,-92.07000000002881,-172.0700000000288,-172.0700000000288
multi_signal_momentum,BUY,2026-03-27 10:13:07.140822,23640.98,23650,ce,15.08,0.5231,-0.5322,0.0099,0.2216,0.6942096070572831,Positive momentum,34,40,CLOSED,2026-03-27 10:34:07.140822,23731.33,Time Exit,3071.900000000074,2991.900000000074,2991.900000000074
multi_signal_momentum,BUY,2026-03-27 10:31:07.140822,23689.54,23700,ce,5.0,0.4517,-0.4641,0.0095,0.2271,0.6508223562405432,Positive momentum,32,40,CLOSED,2026-03-27 10:52:07.140822,23839.96,Time Exit,4813.439999999944,4733.439999999944,4733.439999999944
multi_signal_momentum,BUY,2026-03-27 10:36:07.140822,23786.74,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 10:57:07.140822,23844.69,Time Exit,2028.2499999998981,1948.2499999998981,1948.2499999998981
multi_signal_momentum,BUY,2026-03-27 10:41:07.140822,23832.17,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 11:02:07.140822,23897.74,Time Exit,2294.950000000117,2214.950000000117,2214.950000000117
multi_signal_momentum,BUY,2026-03-27 10:46:07.140822,23870.09,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 11:07:07.140822,23828.92,Time Exit,-1440.9500000000662,-1520.9500000000662,-1520.9500000000662
multi_signal_momentum,BUY,2026-03-27 11:02:07.140822,23897.74,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6423661784667575,Positive momentum,32,40,CLOSED,2026-03-27 11:23:07.140822,23977.75,Time Exit,2560.319999999949,2480.319999999949,2480.319999999949
multi_signal_momentum,BUY,2026-03-27 11:12:07.140822,23881.67,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6213696634173923,Positive momentum,31,40,CLOSED,2026-03-27 11:33:07.140822,23995.23,Time Exit,3520.3600000000406,3440.3600000000406,3440.3600000000406
multi_signal_momentum,BUY,2026-03-27 11:17:07.140822,23934.93,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.4444879583296265,ROC momentum,22,40,CLOSED,2026-03-27 11:38:07.140822,24099.61,Time Exit,3622.9600000000064,3542.9600000000064,3542.9600000000064
multi_signal_momentum,BUY,2026-03-27 11:27:07.140822,24005.72,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6957602132114046,Positive momentum,34,40,CLOSED,2026-03-27 11:48:07.140822,24153.22,Time Exit,5015.0,4935.0,4935.0
