Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,3,66.7%,10244.00,3414.67,27.3%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,40.0,1.96,ACTIVE
TREND_FOLLOWING_OPTIMIZED,3,100.0%,35614.00,11871.33,95.0%,37500.00,25.0%,0.500,-0.040,0.120,1,0,2,40.0,0.00,ACTIVE
ATR_BREAKOUT_LOSING,3,33.3%,-98504.50,-32834.83,-262.7%,37500.00,25.0%,0.167,-0.040,0.120,1,0,2,33.3,0.05,ACTIVE
MOMENTUM_REVERSAL_LOSING,3,66.7%,5010.50,1670.17,13.4%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,40.0,3.56,ACTIVE
MACD_DIVERGENCE_LOSING,3,100.0%,30283.50,10094.50,80.8%,37500.00,25.0%,0.500,-0.040,0.120,3,0,0,40.0,0.00,ACTIVE
BOLLINGER_SQUEEZE_LOSING,3,33.3%,-71405.50,-23801.83,-190.4%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,27.3,0.54,ACTIVE
HIGH_VOLUME_LOSING,1,100.0%,8791.00,8791.00,70.3%,12500.00,25.0%,0.500,-0.040,0.120,1,0,0,40.0,0.00,ACTIVE
CCI_EXTREME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STRONG_MOMENTUM_LOSING,3,66.7%,4838.50,1612.83,12.9%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,40.0,1.36,ACTIVE
STOCHASTIC_OVERSOLD_LOSING,3,33.3%,1090.50,363.50,2.9%,37500.00,25.0%,-0.167,-0.040,0.120,2,0,1,40.0,1.09,ACTIVE
WILLIAMS_REVERSAL_LOSING,1,0.0%,-7018.50,-7018.50,-56.1%,12500.00,25.0%,-0.500,-0.040,0.120,1,0,0,40.0,0.00,ACTIVE
MULTI_TIMEFRAME_LOSING,3,100.0%,17956.00,5985.33,47.9%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,40.0,0.00,ACTIVE
AI_ENHANCED_LOSING,2,50.0%,-7273.50,-3636.75,-29.1%,25000.00,25.0%,0.000,-0.040,0.120,2,0,0,40.0,0.53,ACTIVE
MFI_DIVERGENCE_LOSING,3,33.3%,-14941.00,-4980.33,-39.8%,37500.00,25.0%,-0.167,-0.040,0.120,2,0,1,40.0,0.39,ACTIVE
RSI_DIVERGENCE_LOSING,3,33.3%,64602.50,21534.17,172.3%,37500.00,25.0%,-0.500,-0.040,0.120,2,0,1,40.0,4.10,ACTIVE
VOLUME_SPIKE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BREAKOUT_REVERSAL_LOSING,2,50.0%,5874.00,2937.00,23.5%,25000.00,25.0%,0.000,-0.040,0.120,0,0,2,40.0,1.66,ACTIVE
