strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,position_lots,position_size,broker_charges,max_risk,status,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl,roi,investment
adx_trend,BUY,2026-04-02 10:42:00.000000,23012.18,23250,ce,15.71,0.5149,-0.4232,0.009,0.2097,0.8,ADX trend,2,100,40,2000.0,CLOSED,2026-04-02 11:28:00.000000,23175.72,Time Exit,16354.000000000087,16274.000000000087,16274.000000000087,1035.9007001909667,1571.0
adx_trend,BUY,2026-04-02 10:43:00.000000,23033.13,23250,ce,15.71,0.5149,-0.4232,0.009,0.2097,0.7834052305894794,ADX trend,2,100,40,2000.0,CLOSED,2026-04-02 11:29:00.000000,23153.65,Time Exit,12052.000000000044,11972.000000000044,11972.000000000044,762.0623806492707,1571.0
stochastic_oversold,BUY,2026-03-31 09:21:00.000000,22650.7,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.75,Stochastic oversold,2,100,40,2000.0,CLOSED,2026-03-31 10:07:00.000000,22908.67,Time Exit,25796.999999999753,25716.999999999753,25716.999999999753,1424.7645429362742,1805.0
stochastic_oversold,BUY,2026-03-31 09:26:00.000000,22751.24,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.75,Stochastic oversold,2,100,40,2000.0,CLOSED,2026-03-31 10:12:00.000000,22912.63,Time Exit,16138.999999999942,16058.999999999942,16058.999999999942,1605.8999999999942,1000.0
williams_reversal,BUY,2026-03-31 09:19:00.000000,22639.72,22650,ce,10.0,0.5085,-0.5558,0.0101,0.1945,0.75,Williams %R reversal,2,100,40,2000.0,CLOSED,2026-03-31 10:05:00.000000,22884.8,Time Exit,24507.99999999981,24427.99999999981,24427.99999999981,2442.799999999981,1000.0
williams_reversal,BUY,2026-03-31 09:21:00.000000,22650.7,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.75,Williams %R reversal,2,100,40,2000.0,CLOSED,2026-03-31 10:07:00.000000,22908.67,Time Exit,25796.999999999753,25716.999999999753,25716.999999999753,1424.7645429362742,1805.0
multi_timeframe,BUY,2026-03-30 13:40:00.000000,24261.45,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.8,Multi-timeframe,2,100,40,2000.0,CLOSED,2026-03-30 14:26:00.000000,24323.27,Time Exit,6181.999999999971,6101.999999999971,6101.999999999971,458.4522915101406,1331.0
multi_timeframe,BUY,2026-03-30 14:17:00.000000,24277.48,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.8,Multi-timeframe,2,100,40,2000.0,CLOSED,2026-03-30 15:03:00.000000,24486.33,Time Exit,20885.00000000022,20805.00000000022,20805.00000000022,1563.1104432757488,1331.0
ai_enhanced,BUY,2026-03-27 10:06:07.140822,23605.93,23650,ce,15.08,0.5231,-0.5322,0.0099,0.2216,0.6000000000000001,AI enhanced buy,2,100,40,2000.0,CLOSED,2026-03-27 10:52:07.140822,23839.96,Time Exit,23402.999999999884,23322.999999999884,23322.999999999884,1546.618037135271,1508.0
ai_enhanced,BUY,2026-03-27 10:37:07.140822,23786.98,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6,AI enhanced buy,2,100,40,2000.0,CLOSED,2026-03-27 11:23:07.140822,23977.75,Time Exit,19077.000000000044,18997.000000000044,18997.000000000044,1427.2727272727304,1331.0
trend_following,SELL,2026-03-31 09:17:00.000000,22621.1,22400,pe,11.74,-0.508,-0.4875,0.0112,0.2066,0.7,Trend following sell,2,100,40,2000.0,CLOSED,2026-03-31 10:03:00.000000,22890.87,Time Exit,-26977.000000000044,-27057.000000000044,-27057.000000000044,-2304.68483816014,1174.0
trend_following,SELL,2026-03-31 09:19:00.000000,22639.72,22400,pe,11.74,-0.508,-0.4875,0.0112,0.2066,0.7,Trend following sell,2,100,40,2000.0,CLOSED,2026-03-31 10:05:00.000000,22884.8,Time Exit,-24507.99999999981,-24587.99999999981,-24587.99999999981,-2094.3781942078203,1174.0
