strategy,strategy_type,activation_time,entry_time,exit_time,spot_price_at_entry,spot_price_at_exit,option_type,strike_price,strike_type,entry_premium,exit_premium,premium_change,lots,lot_size,investment,pnl,net_pnl,return_percentage,is_win,exit_reason,holding_minutes,signal_reason,entry_delta,entry_theta,entry_vega,entry_gamma,exit_delta,exit_theta,exit_vega,exit_gamma,delta_change,theta_change,vega_change,gamma_change,market_rsi,market_sma_20,market_volume,market_volume_sma,market_price_change,market_high_low_range,brokerage,risk_reward_ratio,max_profit_potential,max_loss_potential
MULTI_TIMEFRAME_LOSING,FROZEN,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:40:45.881055448,23280.17,22912.226155198627,CE,23800.0,OTM,307.52000000000044,333.51040982928686,25.99040982928642,1,50,15376.000000000022,1299.520491464321,1259.520491464321,8.451616099533812,True,TARGET_ACHIEVED,6.737050892023797,Multi-timeframe frozen,0.5,-0.05,0.2,0.02,0.503496961393088,-0.051674034959512616,0.18638901612547956,0.018288085639725227,0.0034969613930879717,-0.001674034959512613,-0.01361098387452045,-0.0017119143602747737,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
AI_ENHANCED_LOSING,FROZEN,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:42:06.861041884,23280.17,23618.295219503092,CE,23800.0,OTM,307.52000000000044,301.9021812445381,-5.617818755462338,1,50,15376.000000000022,-280.8909377731169,-320.8909377731169,-1.8268141114276566,False,STOP_LOSS,5.117363176414474,AI enhanced frozen,0.5,-0.05,0.2,0.02,0.4687706157589236,-0.05335944057248767,0.18046730500978275,0.023314093535838434,-0.031229384241076408,-0.0033594405724876666,-0.01953269499021726,0.0033140935358384332,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
RSI_DIVERGENCE_LOSING,FROZEN,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:40:37.098952527,23280.17,23657.731467639493,CE,23800.0,OTM,307.52000000000044,335.1725535688002,27.65255356879976,1,50,15376.000000000022,1382.627678439988,1342.627678439988,8.992115494536849,True,TARGET_ACHIEVED,6.664028055867011,RSI frozen,0.5,-0.05,0.2,0.02,0.45121911874912424,-0.05243213516501727,0.21915216350444994,0.017545089358611682,-0.04878088125087576,-0.0024321351650172657,0.019152163504449926,-0.0024549106413883186,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
STOCHASTIC_OVERSOLD_LOSING,FROZEN,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:38:57.732729734,23280.17,23316.456123131964,CE,23800.0,OTM,307.52000000000044,338.42702606306557,30.907026063065132,1,50,15376.000000000022,1545.3513031532566,1505.3513031532566,10.050411701048741,True,TARGET_ACHIEVED,8.722415135497634,Stochastic frozen,0.5,-0.05,0.2,0.02,0.48351481120548295,-0.05133432126033836,0.2009158458557206,0.02400996580284814,-0.016485188794517047,-0.0013343212603383545,0.0009158458557205762,0.004009965802848139,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
TREND_FOLLOWING_OPTIMIZED,FROZEN,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:36:40.036942366,23280.17,23404.337549338303,CE,23800.0,OTM,307.52000000000044,341.3535645612346,33.83356456123414,1,50,15376.000000000022,1691.6782280617072,1651.6782280617072,11.002069641400265,True,TARGET_ACHIEVED,11.080812470473989,Trend frozen,0.5,-0.05,0.2,0.02,0.5244311543428336,-0.048772189220924564,0.21245541168780913,0.021705335407036994,0.024431154342833605,0.001227810779075439,0.012455411687809115,0.0017053354070369932,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
STRONG_MOMENTUM_LOSING,FROZEN,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:39:18.830793882,23280.17,23344.78549125889,CE,23800.0,OTM,307.52000000000044,335.49693158009546,27.976931580095027,1,50,15376.000000000022,1398.8465790047512,1358.8465790047512,9.097597418084998,True,TARGET_ACHIEVED,9.965838706018292,Strong momentum frozen,0.5,-0.05,0.2,0.02,0.4732059737900352,-0.045749907541241974,0.2137294881839054,0.024332183929176066,-0.026794026209964794,0.0042500924587580285,0.013729488183905375,0.004332183929176066,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MACD_DIVERGENCE_LOSING,RE-OPTIMIZED,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:41:40.778128662,23280.17,23454.67469542653,CE,23800.0,OTM,307.52000000000044,336.2486038016417,28.72860380164127,1,50,15376.000000000022,1436.4301900820635,1396.4301900820635,9.342027771085206,True,TARGET_ACHIEVED,10.108651124207478,MACD re-optimized,0.5,-0.05,0.2,0.02,0.47226977192608544,-0.043336976575432805,0.19374313529815448,0.020917270703095597,-0.027730228073914565,0.006663023424567198,-0.006256864701845527,0.0009172707030955969,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
CCI_EXTREME_LOSING,RE-OPTIMIZED,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:41:47.679344946,23280.17,23723.26521422325,CE,23800.0,OTM,307.52000000000044,330.8151720310071,23.295172031006643,1,50,15376.000000000022,1164.758601550332,1124.758601550332,7.575173006961046,True,TARGET_ACHIEVED,9.871361546845247,CCI re-optimized,0.5,-0.05,0.2,0.02,0.5494532223543793,-0.05880858606422311,0.19627515180093713,0.015985986669678615,0.04945322235437932,-0.008808586064223106,-0.00372484819906288,-0.004014013330321385,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MOMENTUM_REVERSAL_LOSING,RE-OPTIMIZED,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:37:54.444560141,23280.17,22901.259374796617,CE,23800.0,OTM,307.52000000000044,334.67566829659006,27.155668296589624,1,50,15376.000000000022,1357.7834148294812,1317.7834148294812,8.83053729727809,True,TARGET_ACHIEVED,11.849671977840327,Momentum re-optimized,0.5,-0.05,0.2,0.02,0.5496510787994718,-0.054145229022426855,0.19509545016482402,0.021509639328302507,0.04965107879947184,-0.004145229022426852,-0.004904549835175992,0.0015096393283025068,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
BOLLINGER_SQUEEZE_LOSING,RE-OPTIMIZED,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:37:17.994303678,23280.17,22983.742954562913,CE,23800.0,OTM,307.52000000000044,332.07812524579225,24.558125245791814,1,50,15376.000000000022,1227.9062622895908,1187.9062622895908,7.985862788043634,True,TARGET_ACHIEVED,6.983180400744461,Bollinger re-optimized,0.5,-0.05,0.2,0.02,0.49791804323474104,-0.042306220853641406,0.1884306706881519,0.024344379360933664,-0.0020819567652589632,0.007693779146358597,-0.01156932931184812,0.004344379360933664,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
