Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,3,33.3%,-80390.00,-26796.67,-214.4%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,19.0,0.14,ACTIVE
TREND_FOLLOWING_OPTIMIZED,3,100.0%,19955.50,6651.83,53.2%,37500.00,25.0%,0.500,-0.040,0.120,3,0,0,25.0,0.00,ACTIVE
ATR_BREAKOUT_LOSING,3,33.3%,-13266.50,-4422.17,-35.4%,37500.00,25.0%,-0.167,-0.040,0.120,1,0,2,25.0,0.25,ACTIVE
MOMENTUM_REVERSAL_LOSING,3,33.3%,79506.00,26502.00,212.0%,37500.00,25.0%,-0.500,-0.040,0.120,1,0,2,19.0,8.73,ACTIVE
MACD_DIVERGENCE_LOSING,3,66.7%,3754.00,1251.33,10.0%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,25.0,1.32,ACTIVE
BOLLINGER_SQUEEZE_LOSING,1,100.0%,5368.00,5368.00,42.9%,12500.00,25.0%,-0.500,-0.040,0.120,1,0,0,25.0,0.00,ACTIVE
HIGH_VOLUME_LOSING,3,0.0%,-108089.00,-36029.67,-288.2%,37500.00,25.0%,-0.167,-0.040,0.120,0,0,3,23.3,0.00,ACTIVE
CCI_EXTREME_LOSING,3,33.3%,-7820.50,-2606.83,-20.9%,37500.00,25.0%,-0.500,-0.040,0.120,3,0,0,25.0,0.01,ACTIVE
STRONG_MOMENTUM_LOSING,3,33.3%,-1933.50,-644.50,-5.2%,37500.00,25.0%,0.167,-0.040,0.120,2,0,1,25.0,0.70,ACTIVE
STOCHASTIC_OVERSOLD_LOSING,3,33.3%,-5948.00,-1982.67,-15.9%,37500.00,25.0%,-0.167,-0.040,0.120,1,0,2,25.0,0.05,ACTIVE
WILLIAMS_REVERSAL_LOSING,3,66.7%,11196.00,3732.00,29.9%,37500.00,25.0%,0.167,-0.040,0.120,3,0,0,25.0,24.82,ACTIVE
MULTI_TIMEFRAME_LOSING,3,100.0%,23900.50,7966.83,63.7%,37500.00,25.0%,0.500,-0.040,0.120,2,0,1,25.0,0.00,ACTIVE
AI_ENHANCED_LOSING,3,66.7%,180380.50,60126.83,481.0%,37500.00,25.0%,-0.500,-0.040,0.120,2,0,1,17.3,65.08,ACTIVE
MFI_DIVERGENCE_LOSING,3,0.0%,-17179.00,-5726.33,-45.8%,37500.00,25.0%,-0.500,-0.040,0.120,2,0,1,25.0,0.00,ACTIVE
RSI_DIVERGENCE_LOSING,3,0.0%,-27681.50,-9227.17,-73.8%,37500.00,25.0%,-0.167,-0.040,0.120,2,0,1,25.0,0.00,ACTIVE
VOLUME_SPIKE_LOSING,3,100.0%,20131.00,6710.33,53.7%,37500.00,25.0%,0.500,-0.040,0.120,2,0,1,25.0,0.00,ACTIVE
BREAKOUT_REVERSAL_LOSING,3,66.7%,-164.50,-54.83,-0.4%,37500.00,25.0%,-0.167,-0.040,0.120,3,0,0,25.0,0.98,ACTIVE
