Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,3,66.7%,-3231.50,-1077.17,-7.2%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,45.0,0.83,ACTIVE
TREND_FOLLOWING_OPTIMIZED,3,66.7%,11167.50,3722.50,24.8%,45000.00,30.0%,0.167,-0.050,0.100,3,0,0,45.0,2.25,ACTIVE
ATR_BREAKOUT_LOSING,3,66.7%,2805.50,935.17,6.2%,45000.00,30.0%,0.167,-0.050,0.100,0,0,3,45.0,1.56,ACTIVE
MOMENTUM_REVERSAL_LOSING,3,66.7%,7797.50,2599.17,17.3%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,35.7,1.09,ACTIVE
MACD_DIVERGENCE_LOSING,3,66.7%,5931.50,1977.17,13.2%,45000.00,30.0%,0.167,-0.050,0.100,1,0,2,45.0,1.42,ACTIVE
BOLLINGER_SQUEEZE_LOSING,3,66.7%,5673.50,1891.17,12.6%,45000.00,30.0%,0.167,-0.050,0.100,3,0,0,45.0,1.87,ACTIVE
HIGH_VOLUME_LOSING,3,66.7%,-5019.50,-1673.17,-11.2%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,45.0,0.68,ACTIVE
CCI_EXTREME_LOSING,3,100.0%,92379.00,30793.00,205.3%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,45.0,0.00,ACTIVE
STRONG_MOMENTUM_LOSING,3,66.7%,20191.50,6730.50,44.9%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,45.0,16.43,ACTIVE
STOCHASTIC_OVERSOLD_LOSING,3,66.7%,24435.00,8145.00,54.3%,45000.00,30.0%,0.167,-0.050,0.100,3,0,0,45.0,3.17,ACTIVE
WILLIAMS_REVERSAL_LOSING,3,33.3%,-82648.50,-27549.50,-183.7%,45000.00,30.0%,0.167,-0.050,0.100,0,0,3,43.3,0.21,ACTIVE
MULTI_TIMEFRAME_LOSING,3,66.7%,23882.50,7960.83,53.1%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,45.0,11.64,ACTIVE
AI_ENHANCED_LOSING,3,66.7%,9338.00,3112.67,20.8%,45000.00,30.0%,0.167,-0.050,0.100,0,0,3,45.0,2.03,ACTIVE
MFI_DIVERGENCE_LOSING,3,66.7%,-1580.50,-526.83,-3.5%,45000.00,30.0%,0.167,-0.050,0.100,1,0,2,45.0,0.89,ACTIVE
RSI_DIVERGENCE_LOSING,2,50.0%,-10434.00,-5217.00,-34.8%,30000.00,30.0%,0.000,-0.050,0.100,1,0,1,45.0,0.38,ACTIVE
VOLUME_SPIKE_LOSING,2,50.0%,11409.50,5704.75,38.0%,30000.00,30.0%,0.000,-0.050,0.100,1,0,1,45.0,5.04,ACTIVE
BREAKOUT_REVERSAL_LOSING,2,50.0%,-786.00,-393.00,-2.6%,30000.00,30.0%,0.000,-0.050,0.100,1,0,1,45.0,0.95,ACTIVE
