Strategy,Orig_Trades,Fine_Trades,Trade_Reduction_%,Orig_Win_Rate,Fine_Win_Rate,Win_Rate_Change,Orig_Total_PnL,Fine_Total_PnL,PnL_Change,Orig_Avg_PnL,Fine_Avg_PnL,Orig_Drawdown,Fine_Drawdown,Drawdown_Reduction_%,Orig_Sharpe,Fine_Sharpe,Orig_Profit_Factor,Fine_Profit_Factor,Orig_Expectancy,Fine_Expectancy
Enhanced Day High/Low,6,0,100.0,16.666666666666664,0.0,-16.666666666666664,-9572.999999999956,0.0,9572.999999999956,-1595.4999999999927,0.0,2871.899999999987,0.0,100.0,0.0,0.0,0.19999999999999996,0.0,-1595.4999999999927,0.0
RSI Oversold,129,0,100.0,74.4186046511628,0.0,-74.4186046511628,171371.99999999936,0.0,-171371.99999999936,1328.465116279065,0.0,17137.199999999935,0.0,100.0,595.0550476190455,0.0,2.9090909090909096,0.0,1328.465116279065,0.0
RSI Overbought,591,0,100.0,25.042301184433164,0.0,-25.042301184433164,-870780.5000000014,0.0,870780.5000000014,-1473.4018612521174,0.0,261234.1500000004,0.0,100.0,0.0,0.0,0.3340857787810384,0.0,-1473.4018612521174,0.0
Mean Reversion,335,0,100.0,30.74626865671642,0.0,-30.74626865671642,-322713.99999999936,0.0,322713.99999999936,-963.3253731343265,0.0,96814.19999999981,0.0,100.0,0.0,0.0,0.4439655172413793,0.0,-963.3253731343265,0.0
Breakout Scalping,2,0,100.0,50.0,0.0,-50.0,694.0000000000509,0.0,-694.0000000000509,347.00000000002547,0.0,69.4000000000051,0.0,100.0,1.7458095238097013,0.0,1.0,0.0,347.00000000002547,0.0
Trend Following,177,0,100.0,18.64406779661017,0.0,-18.64406779661017,-259784.99999999933,0.0,259784.99999999933,-1467.711864406776,0.0,77935.4999999998,0.0,100.0,0.0,0.0,0.22916666666666666,0.0,-1467.711864406776,0.0
Volatility Scalping,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACD Crossover,91,0,100.0,54.94505494505495,0.0,-54.94505494505495,18408.49999999973,0.0,-18408.49999999973,202.29120879120583,0.0,1840.849999999973,0.0,100.0,63.32478571428478,0.0,1.2195121951219514,0.0,202.29120879120583,0.0
Bollinger Bands,201,0,100.0,34.82587064676617,0.0,-34.82587064676617,-150548.49999999936,0.0,150548.49999999936,-748.9975124378078,0.0,45164.54999999981,0.0,100.0,0.0,0.0,0.534351145038168,0.0,-748.9975124378078,0.0
Stochastic Oscillator,46,0,100.0,34.78260869565217,0.0,-34.78260869565217,-51003.50000000035,0.0,51003.50000000035,-1108.7717391304425,0.0,15301.050000000105,0.0,100.0,0.0,0.0,0.5333333333333332,0.0,-1108.7717391304425,0.0
ADX Trend,1589,17,98.93014474512272,61.04468219005664,47.05882352941176,-13.98585866064488,1206148.0,3352.0000000004075,-1202795.9999999995,759.0610446821901,197.17647058825926,120614.8,335.20000000004075,99.72209048972428,4192.133523809524,10.985523809525226,1.5670436187399033,0.8888888888888887,759.0610446821901,197.17647058825926
Volume Price Trend,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI Enhanced,30,0,100.0,36.666666666666664,0.0,-36.666666666666664,-19643.99999999987,0.0,19643.99999999987,-654.7999999999956,0.0,5893.199999999961,0.0,100.0,0.0,0.0,0.5789473684210525,0.0,-654.7999999999956,0.0
ADX Trend Fine-Tuned,0,17,0.0,0.0,47.05882352941176,0.0,0.0,3352.0000000004075,0.0,0.0,197.17647058825926,0.0,335.20000000004075,0.0,0.0,10.985523809525226,0.0,0.8888888888888887,0.0,197.17647058825926
RSI Oversold Fine-Tuned,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACD Crossover Fine-Tuned,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bollinger Bands Fine-Tuned,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stochastic Fine-Tuned,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean Reversion Fine-Tuned,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
