Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,3,66.7%,8392.00,2797.33,18.6%,45000.00,30.0%,0.167,-0.050,0.100,1,0,2,30.0,1.53,ACTIVE
TREND_FOLLOWING_OPTIMIZED,3,66.7%,5370.50,1790.17,11.9%,45000.00,30.0%,0.167,-0.050,0.100,3,0,0,30.0,1.54,ACTIVE
ATR_BREAKOUT_LOSING,3,66.7%,-3221.50,-1073.83,-7.2%,45000.00,30.0%,0.167,-0.050,0.100,0,0,3,30.0,0.55,ACTIVE
MOMENTUM_REVERSAL_LOSING,3,33.3%,-84074.00,-28024.67,-186.8%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,25.7,0.10,ACTIVE
MACD_DIVERGENCE_LOSING,2,50.0%,704.00,352.00,2.3%,30000.00,30.0%,0.000,-0.050,0.100,1,0,1,30.0,1.05,ACTIVE
BOLLINGER_SQUEEZE_LOSING,3,33.3%,3769.00,1256.33,8.4%,45000.00,30.0%,0.167,-0.050,0.100,3,0,0,30.0,2.04,ACTIVE
HIGH_VOLUME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
CCI_EXTREME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STRONG_MOMENTUM_LOSING,3,100.0%,20606.50,6868.83,45.8%,45000.00,30.0%,0.167,-0.050,0.100,2,0,1,30.0,0.00,ACTIVE
STOCHASTIC_OVERSOLD_LOSING,3,66.7%,14879.00,4959.67,33.1%,45000.00,30.0%,0.167,-0.050,0.100,3,0,0,30.0,2.25,ACTIVE
WILLIAMS_REVERSAL_LOSING,3,66.7%,16029.50,5343.17,35.6%,45000.00,30.0%,0.167,-0.050,0.100,0,0,3,30.0,2.73,ACTIVE
MULTI_TIMEFRAME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
AI_ENHANCED_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MFI_DIVERGENCE_LOSING,3,66.7%,-1703.50,-567.83,-3.8%,45000.00,30.0%,0.167,-0.050,0.100,1,0,2,30.0,0.87,ACTIVE
RSI_DIVERGENCE_LOSING,2,50.0%,-10346.50,-5173.25,-34.5%,30000.00,30.0%,0.000,-0.050,0.100,1,0,1,30.0,0.23,ACTIVE
VOLUME_SPIKE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BREAKOUT_REVERSAL_LOSING,2,50.0%,-4793.50,-2396.75,-16.0%,30000.00,30.0%,0.000,-0.050,0.100,1,0,1,30.0,0.68,ACTIVE
