Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,2,0.0%,-19003.50,-9501.75,-67.9%,28000.00,28.0%,-0.500,-0.040,0.120,2,0,0,30.0,0.00,ACTIVE
TREND_FOLLOWING_OPTIMIZED,2,50.0%,-86517.00,-43258.50,-309.0%,28000.00,28.0%,0.500,-0.040,0.120,1,0,1,25.0,0.08,ACTIVE
ATR_BREAKOUT_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MOMENTUM_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MACD_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BOLLINGER_SQUEEZE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
HIGH_VOLUME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
CCI_EXTREME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STRONG_MOMENTUM_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STOCHASTIC_OVERSOLD_LOSING,1,0.0%,-12660.50,-12660.50,-90.4%,14000.00,28.0%,-0.500,-0.040,0.120,0,0,1,30.0,0.00,ACTIVE
WILLIAMS_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MULTI_TIMEFRAME_LOSING,1,100.0%,1435.00,1435.00,10.3%,14000.00,28.0%,0.500,-0.040,0.120,0,0,1,30.0,0.00,ACTIVE
AI_ENHANCED_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MFI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
RSI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
VOLUME_SPIKE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BREAKOUT_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
