Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
TREND_FOLLOWING_OPTIMIZED,1,100.0%,10343.00,10343.00,69.0%,15000.00,30.0%,0.500,-0.040,0.120,0,0,1,15.0,0.00,ACTIVE
ATR_BREAKOUT_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,ERROR
MOMENTUM_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MACD_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BOLLINGER_SQUEEZE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,ERROR
HIGH_VOLUME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
CCI_EXTREME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STRONG_MOMENTUM_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STOCHASTIC_OVERSOLD_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
WILLIAMS_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MULTI_TIMEFRAME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
AI_ENHANCED_LOSING,1,0.0%,-4466.00,-4466.00,-29.8%,15000.00,30.0%,-0.500,-0.040,0.120,0,0,1,15.0,0.00,ACTIVE
MFI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
RSI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
VOLUME_SPIKE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BREAKOUT_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,ERROR
