Strategy,Trades,Win Rate (%),Total P&L,Avg P&L,ROI (%),Investment,Capital Utilization (%),Status
RSI_DIVERGENCE_LOSING,28,96.4,12201.71,435.78,6.0,203760.00,407.5,ACTIVE
MACD_DIVERGENCE_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
BOLLINGER_SQUEEZE_LOSING,3,100.0,1441.52,480.51,6.1,23628.00,47.3,ACTIVE
VOLUME_SPIKE_LOSING,12,83.3,4154.71,346.23,5.6,74756.00,149.5,ACTIVE
STOCHASTIC_OVERSOLD_LOSING,23,95.7,9946.24,432.45,5.7,173384.00,346.8,ACTIVE
WILLIAMS_REVERSAL_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
CCI_EXTREME_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
ATR_BREAKOUT_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
MFI_DIVERGENCE_LOSING,1,0.0,-50.74,-50.74,-1.8,2876.00,5.8,ACTIVE
TREND_FOLLOWING_OPTIMIZED,36,77.8,9065.08,251.81,3.6,252764.00,505.5,ACTIVE
MOMENTUM_REVERSAL_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
BREAKOUT_REVERSAL_LOSING,3,100.0,1480.02,493.34,6.3,23628.00,47.3,ACTIVE
STRONG_MOMENTUM_LOSING,5,80.0,2225.41,445.08,5.4,41128.00,82.3,ACTIVE
MULTI_TIMEFRAME_LOSING,36,94.4,14462.11,401.73,5.7,252764.00,505.5,ACTIVE
AI_ENHANCED_LOSING,36,88.9,13512.48,375.35,5.3,252764.00,505.5,ACTIVE
DAY_HIGH_LOW_OPTIMIZED,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
HIGH_VOLUME_LOSING,14,85.7,3921.81,280.13,4.1,95508.00,191.0,ACTIVE
