Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
TREND_FOLLOWING_OPTIMIZED,3,0.0%,-97316.00,-32438.67,-231.7%,42000.00,28.0%,0.500,-0.040,0.120,1,0,2,20.0,0.00,ACTIVE
ATR_BREAKOUT_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,ERROR
MOMENTUM_REVERSAL_LOSING,1,100.0%,4914.00,4914.00,35.1%,14000.00,28.0%,0.500,-0.040,0.120,1,0,0,20.0,0.00,ACTIVE
MACD_DIVERGENCE_LOSING,1,0.0%,-11797.00,-11797.00,-84.3%,14000.00,28.0%,-0.500,-0.040,0.120,1,0,0,20.0,0.00,ACTIVE
BOLLINGER_SQUEEZE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,ERROR
HIGH_VOLUME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
CCI_EXTREME_LOSING,3,33.3%,76418.00,25472.67,181.9%,42000.00,28.0%,-0.500,-0.040,0.120,1,0,2,20.0,5.50,ACTIVE
STRONG_MOMENTUM_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STOCHASTIC_OVERSOLD_LOSING,1,100.0%,5885.00,5885.00,42.0%,14000.00,28.0%,0.500,-0.040,0.120,1,0,0,20.0,0.00,ACTIVE
WILLIAMS_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MULTI_TIMEFRAME_LOSING,3,33.3%,-5137.00,-1712.33,-12.2%,42000.00,28.0%,-0.167,-0.040,0.120,1,0,2,20.0,0.49,ACTIVE
AI_ENHANCED_LOSING,2,0.0%,-7812.00,-3906.00,-27.9%,28000.00,28.0%,-0.500,-0.040,0.120,0,0,2,20.0,0.00,ACTIVE
MFI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
RSI_DIVERGENCE_LOSING,2,50.0%,4217.50,2108.75,15.1%,28000.00,28.0%,0.000,-0.040,0.120,0,0,2,20.0,2.36,ACTIVE
VOLUME_SPIKE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BREAKOUT_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,ERROR
