strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,position_size,status,stop_loss,take_profit,trailing_stop,exit_time,exit_price,exit_reason,pnl
adx_trend_fine_tuned,BUY,2026-03-27 14:54:07.140822,24791.31,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.832444553884198,Strong uptrend with ADX confirmation,75.0,CLOSED,495.82620000000003,991.6524000000001,24791.31,2026-03-27 14:55:07.140822,24782.14,Stop Loss,-687.7500000001419
adx_trend_fine_tuned,BUY,2026-03-30 12:23:00.000000,23835.85,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6553578681930604,Strong uptrend with ADX confirmation,50.0,CLOSED,476.717,953.434,23835.85,2026-03-30 12:24:00.000000,23894.87,Stop Loss,2951.000000000022
adx_trend_fine_tuned,BUY,2026-03-30 13:40:00.000000,24261.45,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.8358185017953671,Strong uptrend with ADX confirmation,75.0,CLOSED,485.22900000000004,970.4580000000001,24261.45,2026-03-30 13:41:00.000000,24239.56,Stop Loss,-1641.7499999999563
adx_trend_fine_tuned,BUY,2026-03-30 14:17:00.000000,24277.48,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.9,Strong uptrend with ADX confirmation,75.0,CLOSED,485.5496,971.0992,24277.48,2026-03-30 14:18:00.000000,24266.54,Stop Loss,-820.4999999999018
adx_trend_fine_tuned,BUY,2026-03-30 14:21:00.000000,24287.02,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.9,Strong uptrend with ADX confirmation,75.0,CLOSED,485.7404,971.4808,24287.02,2026-03-30 14:22:00.000000,24313.45,Stop Loss,1982.2500000000218
adx_trend_fine_tuned,BUY,2026-03-30 14:26:00.000000,24323.27,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.9,Strong uptrend with ADX confirmation,75.0,CLOSED,486.46540000000005,972.9308000000001,24323.27,2026-03-30 14:27:00.000000,24326.9,Stop Loss,272.2500000000764
adx_trend_fine_tuned,BUY,2026-04-01 11:24:00.000000,23015.3,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.7155725573987182,Strong uptrend with ADX confirmation,50.0,CLOSED,460.306,920.612,23015.3,2026-04-01 11:25:00.000000,23037.8,Stop Loss,1125.0
adx_trend_fine_tuned,BUY,2026-04-01 11:25:00.000000,23037.8,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.7368212589559813,Strong uptrend with ADX confirmation,50.0,CLOSED,460.756,921.512,23037.8,2026-04-01 11:26:00.000000,23018.88,Stop Loss,-945.9999999999127
adx_trend_fine_tuned,BUY,2026-04-01 11:27:00.000000,23047.14,23050,ce,5.0,0.5291,-0.4788,0.0117,0.2132,0.9,Strong uptrend with ADX confirmation,75.0,CLOSED,460.9428,921.8856,23047.14,2026-04-01 11:28:00.000000,23026.99,Stop Loss,-1511.2499999998363
adx_trend_fine_tuned,BUY,2026-04-01 11:30:00.000000,23039.85,23050,ce,5.0,0.5291,-0.4788,0.0117,0.2132,0.9,Strong uptrend with ADX confirmation,75.0,CLOSED,460.79699999999997,921.5939999999999,23039.85,2026-04-01 11:31:00.000000,23037.93,Stop Loss,-143.99999999986903
adx_trend_fine_tuned,BUY,2026-04-01 11:32:00.000000,23049.02,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.7575835798098042,Strong uptrend with ADX confirmation,50.0,CLOSED,460.98040000000003,921.9608000000001,23049.02,2026-04-01 11:33:00.000000,23040.61,Stop Loss,-420.4999999999927
adx_trend_fine_tuned,BUY,2026-04-02 10:43:00.000000,23033.13,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.6776805434259572,Strong uptrend with ADX confirmation,50.0,CLOSED,460.66260000000005,921.3252000000001,23033.13,2026-04-02 10:44:00.000000,23047.12,Stop Loss,699.4999999998981
adx_trend_fine_tuned,BUY,2026-04-02 11:50:00.000000,23350.91,23450,ce,6.26,0.5093,-0.4908,0.0115,0.1963,0.6549487260200768,Strong uptrend with ADX confirmation,50.0,CLOSED,467.0182,934.0364,23350.91,2026-04-02 11:51:00.000000,23323.91,Stop Loss,-1350.0
adx_trend_fine_tuned,BUY,2026-04-06 10:15:00.000000,23306.83,23350,ce,14.16,0.5057,-0.497,0.0099,0.1943,0.9,Strong uptrend with ADX confirmation,75.0,CLOSED,466.13660000000004,932.2732000000001,23306.83,2026-04-06 10:16:00.000000,23308.46,Stop Loss,122.24999999980355
adx_trend_fine_tuned,BUY,2026-04-06 10:16:00.000000,23308.46,23350,ce,14.16,0.5057,-0.497,0.0099,0.1943,0.9,Strong uptrend with ADX confirmation,75.0,CLOSED,466.1692,932.3384,23308.46,2026-04-06 10:17:00.000000,23306.0,Stop Loss,-184.49999999993452
adx_trend_fine_tuned,BUY,2026-04-06 10:17:00.000000,23306.0,23350,ce,14.16,0.5057,-0.497,0.0099,0.1943,0.8557013245120637,Strong uptrend with ADX confirmation,75.0,CLOSED,466.12,932.24,23306.0,2026-04-06 10:18:00.000000,23328.99,Stop Loss,1724.25000000012
adx_trend_fine_tuned,BUY,2026-04-06 10:18:00.000000,23328.99,23350,ce,14.16,0.5057,-0.497,0.0099,0.1943,0.8643081967761639,Strong uptrend with ADX confirmation,75.0,CLOSED,466.57980000000003,933.1596000000001,23328.99,2026-04-06 10:19:00.000000,23358.08,Stop Loss,2181.750000000011
