Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,3,33.3%,6711.50,2237.17,17.2%,39000.00,26.0%,0.167,-0.040,0.120,3,0,0,35.0,2.07,ACTIVE
TREND_FOLLOWING_OPTIMIZED,3,66.7%,-74640.50,-24880.17,-191.4%,39000.00,26.0%,0.500,-0.040,0.120,2,0,1,32.3,0.13,ACTIVE
ATR_BREAKOUT_LOSING,3,66.7%,7690.50,2563.50,19.7%,39000.00,26.0%,0.167,-0.040,0.120,1,0,2,35.0,2.53,ACTIVE
MOMENTUM_REVERSAL_LOSING,3,0.0%,-9813.50,-3271.17,-25.2%,39000.00,26.0%,-0.500,-0.040,0.120,1,0,2,35.0,0.00,ACTIVE
MACD_DIVERGENCE_LOSING,3,66.7%,4089.50,1363.17,10.5%,39000.00,26.0%,0.167,-0.040,0.120,1,0,2,35.0,1.58,ACTIVE
BOLLINGER_SQUEEZE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
HIGH_VOLUME_LOSING,2,50.0%,-3037.00,-1518.50,-11.7%,26000.00,26.0%,0.000,-0.040,0.120,1,0,1,35.0,0.75,ACTIVE
CCI_EXTREME_LOSING,3,33.3%,-7368.50,-2456.17,-18.9%,39000.00,26.0%,-0.500,-0.040,0.120,1,0,2,35.0,0.28,ACTIVE
STRONG_MOMENTUM_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STOCHASTIC_OVERSOLD_LOSING,1,0.0%,-14347.50,-14347.50,-110.4%,13000.00,26.0%,-0.500,-0.040,0.120,1,0,0,35.0,0.00,ACTIVE
WILLIAMS_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MULTI_TIMEFRAME_LOSING,2,0.0%,-173540.50,-86770.25,-667.5%,26000.00,26.0%,0.500,-0.040,0.120,2,0,0,10.0,0.00,ACTIVE
AI_ENHANCED_LOSING,1,0.0%,-9880.00,-9880.00,-76.0%,13000.00,26.0%,-0.500,-0.040,0.120,1,0,0,35.0,0.00,ACTIVE
MFI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
RSI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
VOLUME_SPIKE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BREAKOUT_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
