Strategy,Original_Rank_PnL,Original_PnL,Original_Win_Rate,Original_Trades,Original_Drawdown,Fine_Tuned_Rank_PnL,Fine_Tuned_PnL,Fine_Tuned_Win_Rate,Fine_Tuned_Trades,Fine_Tuned_Drawdown,Improvement_PnL
Enhanced Day High/Low,13.0,-9572.999999999956,16.666666666666664,6,2871.899999999987,11.0,0.0,0.0,0,0.0,9572.999999999956
RSI Oversold,2.0,171371.99999999936,74.4186046511628,129,17137.199999999935,11.0,0.0,0.0,0,0.0,-171371.99999999936
RSI Overbought,19.0,-870780.5000000014,25.042301184433164,591,261234.1500000004,11.0,0.0,0.0,0,0.0,870780.5000000014
Mean Reversion,18.0,-322713.99999999936,30.74626865671642,335,96814.19999999981,11.0,0.0,0.0,0,0.0,322713.99999999936
Breakout Scalping,4.0,694.0000000000509,50.0,2,69.4000000000051,11.0,0.0,0.0,0,0.0,-694.0000000000509
Trend Following,17.0,-259784.99999999933,18.64406779661017,177,77935.4999999998,11.0,0.0,0.0,0,0.0,259784.99999999933
Volatility Scalping,8.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0,0.0,0.0
MACD Crossover,3.0,18408.49999999973,54.94505494505495,91,1840.849999999973,11.0,0.0,0.0,0,0.0,-18408.49999999973
Bollinger Bands,16.0,-150548.49999999936,34.82587064676617,201,45164.54999999981,11.0,0.0,0.0,0,0.0,150548.49999999936
Stochastic Oscillator,15.0,-51003.50000000035,34.78260869565217,46,15301.050000000105,11.0,0.0,0.0,0,0.0,51003.50000000035
ADX Trend,1.0,1206148.0,61.04468219005664,1589,120614.8,1.5,3352.0000000004075,47.05882352941176,17,335.20000000004075,-1202795.9999999995
Volume Price Trend,8.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0,0.0,0.0
AI Enhanced,14.0,-19643.99999999987,36.666666666666664,30,5893.199999999961,11.0,0.0,0.0,0,0.0,19643.99999999987
ADX Trend Fine-Tuned,8.5,0.0,0.0,0,0.0,1.5,3352.0000000004075,47.05882352941176,17,335.20000000004075,0.0
RSI Oversold Fine-Tuned,8.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0,0.0,0.0
MACD Crossover Fine-Tuned,8.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0,0.0,0.0
Bollinger Bands Fine-Tuned,8.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0,0.0,0.0
Stochastic Fine-Tuned,8.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0,0.0,0.0
Mean Reversion Fine-Tuned,8.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0,0.0,0.0
