,total_trades,winning_trades,losing_trades,total_pnl,win_rate,avg_pnl_per_trade
strategy_enhanced_day_high_low,6,1,5,-9572.999999999956,16.666666666666664,-1595.4999999999927
strategy_rsi_oversold,129,96,33,171371.99999999936,74.4186046511628,1328.465116279065
strategy_rsi_overbought,591,148,443,-870780.5000000014,25.042301184433164,-1473.4018612521174
strategy_mean_reversion,335,103,232,-322713.99999999936,30.74626865671642,-963.3253731343265
strategy_breakout_scalping,2,1,1,694.0000000000509,50.0,347.00000000002547
strategy_trend_following,177,33,144,-259784.99999999933,18.64406779661017,-1467.711864406776
strategy_volatility_scalping,0,0,0,0.0,0.0,0.0
strategy_macd_crossover,91,50,41,18408.49999999973,54.94505494505495,202.29120879120583
strategy_bollinger_bands,201,70,131,-150548.49999999936,34.82587064676617,-748.9975124378078
strategy_stochastic_oscillator,46,16,30,-51003.50000000035,34.78260869565217,-1108.7717391304425
strategy_adx_trend,1589,970,619,1206148.0,61.04468219005664,759.0610446821901
strategy_volume_price_trend,0,0,0,0.0,0.0,0.0
strategy_ai_enhanced,30,11,19,-19643.99999999987,36.666666666666664,-654.7999999999956
