status,parser_used,instrument,action,entry_range,stop_loss,target,timestamp,channel_id,raw_message,pnl,exit_time,capital_utilized,price
NEW_SIGNAL,Regex,BSE SENSEX 78000 CE,BUY,450,370,680,2026-07-03 11:26:34,-1002902210804,**BUY BSE SENSEX 78000 CE IN RANGE 450 - 470  SL BELOW 370 TGT  680**,0,,4500,
T2_HIT,Regex,CIPLA 28 JUL 1450 CALL,BUY,44.6,39,50.5,2026-07-03 11:35:14,-1002264960458,**New F&O Trade Alert :🔥🔥🔊🔊**          📌 **Trade Details:**         • Enter:  `CIPLA 28 JUL 1450 CALL`         • Action:  `BUY`         • Trade Type:  **Intraday** || Options Buying         • Entry Price Range:  **44.6 - 46.4**         • Stop Loss:  **39.0**         • Target 1:  **50.5**         • Target 2:  **55.0**         • Target 3:  **61.0**          ⏳ **Trade Given at:** 11:35 AM || 2026-07-03          📝 **Rationale:** Upside Continuation From Support          📊 **Chart:** [View Analysis](https://www.tradingview.com/x/WNy1GmHl/)          ✅ **Disclaimer:** Trade & invest after reading         [DISCLAIMER](https://dilsetrader.in/disclaimer/).          📣 __Message by:__ Gokul Chhabra (SEBI RA: INH000014827),0,,22300,
MANUAL_BOOK,Regex,UNKNOWN,UPDATE,,,,2026-07-03 11:41:18,-1002902210804,**BOOK PROFIT IN SENSEX 78000 CE IN B/W 500 - 520**,0,,0,500.0
T1_HIT,Regex,UNKNOWN,UPDATE,,,,2026-07-03 11:45:05,-1002231238486,Goldm Put   Near 1st Target,0,,0,
SL_HIT,Regex,UNKNOWN,EXIT,,,,2026-07-03 13:08:09,-1002115753582,⚠️ Stoploss hit for **BANKNIFTY 28 JUL 58000 CALL**. **CLOSE THIS POSITION! Wait for Next Trade**,0,,0,
NEW_SIGNAL,Regex,BSE SENSEX 78000 PE,BUY,430,335,680,2026-07-03 13:10:19,-1002902210804,**SCALP TRADE: BUY BSE SENSEX 78000 PE IN RANGE 430 - 445 SL BELOW 335 TGT 680**,0,,4300,
T3_HIT,Regex,UNKNOWN,UPDATE,,,,2026-07-03 13:18:00,-1002264960458,🎯 T3 hit for **DIXON 28 JUL 12300 CALL** at **680.00** 🚀,0,,0,
MANUAL_BOOK,Regex,UNKNOWN,UPDATE,,,,2026-07-03 13:26:07,-1002902210804,**BOOK PROFIT IN SENSEX 78000 PE IN B/W 470 - 490**,0,,0,470.0
NEW_SIGNAL,Regex,GODREJCP 28 JUL 1080 PUT,BUY,29.2,24,33,2026-07-03 15:20:23,-1002626583811,**New F&O Trade Alert :🔥🔥🔊🔊**          📌 **Trade Details:**         • Enter:  `GODREJCP 28 JUL 1080 PUT`         • Action:  `BUY`         • Trade Type:  **BTST** || Options Buying         • Entry Price Range:  **29.2 - 30.3**         • Stop Loss:  **24.0**         • Target 1:  **33.0**         • Target 2:  **37.0**         • Target 3:  **45.0**          ⏳ **Trade Given at:** 03:20 PM || 2026-07-03          📝 **Rationale:** Bearish Structure Continued          📊 **Chart:** [View Analysis](https://www.tradingview.com/x/VUrOIKQW/)          ✅ **Disclaimer:** Trade & invest after reading         [DISCLAIMER](https://dilsetrader.in/disclaimer/).          📣 __Message by:__ Gokul Chhabra (SEBI RA: INH000014827),0,,14600,
NEW_SIGNAL,Gap-AI-Engine,NIFTY GAP GAP_UP,BUY,AT MARKET 15:25,EOD FADE,MORNING OPEN,2026-07-03 15:25:00,-1009999999999,,0,,15000,
NEW_SIGNAL,Gap-AI-Engine,BANKNIFTY GAP GAP_UP,BUY,AT MARKET 15:25,EOD FADE,MORNING OPEN,2026-07-03 15:25:00,-1009999999999,,0,,15000,
NEW_SIGNAL,Gap-AI-Engine,SENSEX GAP GAP_UP,BUY,AT MARKET 15:25,EOD FADE,MORNING OPEN,2026-07-03 15:25:00,-1009999999999,,0,,15000,
NEW_SIGNAL,Gap-AI-Engine,MIDCPNIFTY GAP GAP_UP,BUY,AT MARKET 15:25,EOD FADE,MORNING OPEN,2026-07-03 15:25:00,-1009999999999,,0,,15000,
