2026-04-29T19:34:57.662987 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-29T19:46:11.489807 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-29T19:46:11.489807 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-29T20:16:58.858799 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-29T20:16:58.858799 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T09:02:09.821612 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T09:17:10.304066 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T09:32:10.828273 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T14:00:18.698583 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T14:15:21.841092 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T14:15:21.841092 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T14:30:24.830447 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T14:30:24.830447 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T14:45:26.553826 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T14:45:26.553826 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T15:00:28.293580 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T15:00:28.293580 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T15:15:30.648136 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T15:15:30.648136 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T15:30:33.704321 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T15:30:33.704321 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T15:45:35.934188 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T15:45:35.934188 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T16:00:38.856167 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T16:00:38.856167 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T16:15:40.561350 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T16:15:40.561350 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T16:30:41.750774 | POSITION_SIZE_PCT = 1.0 | Regime profile
